interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
0.00,500.00,d2,0,1.05,0,6,-142286136#2,0,0,5,0.23,3.59,19.75,11.82,3.21,0.00
0.00,500.00,d2,0,11.36,0,7,-142286136#3,1,1,7,2.73,14.49,101.42,1.58,13.67,80.00
0.00,500.00,d2,0,2.02,0,7,-142286136#4,0,0,7,0.27,0.81,5.68,13.10,0.43,0.00
0.00,500.00,d2,0,1.92,2,8,-142286136#5,1,1,9,0.44,7.93,75.84,10.58,6.97,1.00
0.00,500.00,d2,0,1.16,0,6,-142286136#6,0,0,6,0.22,1.68,10.06,13.35,1.30,0.00
0.00,500.00,d2,0,1.01,0,6,-142286136#7,1,1,6,0.23,5.50,32.99,12.77,5.12,0.00
0.00,500.00,d2,0,3.66,0,6,-142286136#8,0,0,6,0.28,0.67,4.02,10.74,0.22,0.00
0.00,500.00,d2,0,181.18,0,11,-142286136#9,0,0,11,1.31,1.24,13.59,4.17,0.05,0.00
0.00,500.00,d2,0,8.21,0,18,-147478947,0,0,18,1.75,0.86,15.40,10.23,0.39,0.00
0.00,500.00,d2,0,2.75,0,13,-147702314#0,0,0,13,0.98,1.32,17.10,13.27,0.94,0.00
0.00,500.00,d2,0,3.27,0,15,-147702314#1,0,0,15,1.29,2.27,33.99,11.37,1.70,0.00
0.00,500.00,d2,0,3.11,1,18,-147702314#10,0,0,19,1.47,7.02,132.90,12.88,6.65,0.00
0.00,500.00,d2,0,4.30,0,21,-147702314#11,0,0,21,1.89,3.77,79.21,11.08,3.23,0.00
0.00,500.00,d2,0,5.03,0,21,-147702314#12,0,0,21,1.63,1.11,23.24,12.87,0.72,0.00
0.00,500.00,d2,0,4.49,0,21,-147702314#13,0,0,21,1.64,1.44,30.28,12.82,1.05,0.00
0.00,500.00,d2,1,4.33,0,22,-147702314#14,0,0,21,1.76,2.20,48.26,12.42,1.80,0.00
0.00,500.00,d2,0,3.53,0,21,-147702314#15,0,0,21,1.62,4.69,98.47,12.97,4.30,0.00
0.00,500.00,d2,0,3.96,0,21,-147702314#16,0,0,21,1.71,2.98,62.60,12.27,2.59,0.00
0.00,500.00,d2,0,200.00,0,23,-147702314#17,0,0,23,10.92,2.47,55.29,2.11,0.04,38.00
0.00,500.00,d2,0,3.20,2,13,-147702314#2,0,0,15,1.39,3.20,47.11,10.74,2.81,0.00
